Composer	Title	Where	Sung
Scheidt	A child is born in Bethlehem	CfC2 p7	
Scheidt	Surrexit Christus hodie	Ash p202	
Schein (arr.)	A babe is born in Bethlehem	CfC3 p15	
Schubert	Holy, holy, holy	NOEAB p83	
Schubert	Where Thou reignest	NCAB p523	
Schütz	Praise to thee, Lord Jesus	NCAB p366	
Scott	Easter Anthems	Ash p208	
Scott (arr.)	I saw water (Vidi aquam)	Ash p155	
Scott (arr.)	Lent Prose	Ash p1	
Scott (arr.)	O mortal man	Ash p132	
Senfl	Deus in adiutorium	4thCh p34	
Shaw	Kings in glory	OEAB p22	
Shaw (arr.)	Coventry Carol	CfC1 p82	🟢
Shephard	A new commandment	Ash p114	
Shephard	Never, weather-beaten sail	Adv p133	
Shephard	Sing, my tongue	Ash p115	
Shephard	Song of Mary	NOEAB p189	🟢
Shephard	The Easter Song of Praise	Ash p212	
Shephard	The secret of Christ	NCAB p438	
Shepherd	In manus tuas	2ndCh p22	
Somervell	O Saviour of the world	NCAB p330	
Soriano	Regina caeli	1stCh p35	
Stainer	God so loved the world	NOEAB p81; Ash p72; ECM1 p236	🟢
Stainer	How beautiful upon the mountains	Adv p87	
Stainer	I saw the Lord	ECM1 p238	
Stanford	Beati quorum via	ECM1 p255	🟢
Stanford	Benedictus in C	Adv p38	
Stanford	Caelos ascendit hodie	ECM1 p260	
Stanford	Glorious and Powerful God	NCAB p129	
Stanford	How beautious are their feet	ECM1 p269	
Stanford	I heard a voice from heaven	ECM1 p276	
Stanford	Justorum animae	ECM1 p281	
Stanford	Pray that Jerusalem	NCAB p372	
Stanford	Ye choirs of new Jerusalem	AfC1 p215; Ash p216	🟢
Stanford (arr.)	O for a closer walk	AfC1 p142	
Stanton	Alleluia! Hearts to Heaven	OEAB p52	
Stanton	Christ is the world's true Light	OEAB p9	
Statham	Drop down, ye heavens	OEAB p172	
Sterndale Bennett	God is a spirit	NCAB p142	
Sterndale Bennett	O that I knew where I might find him!	NCAB p336	
